/出現カウントカウント,移動パターン,敵の種類,ショットタイプ,x座標,y座標,スピード,体力,スタミナ,カウンタ,待機時間,ショットタイミング,ショットレベル
,int,string,string,Vector2f,Vector2f,int,int,int,int,int,int,int
/time,movePtn,"""string""","""string""",pos.x,pos.y,speed,HP,SP,cnt,wait,shotCnt,shotLevel
100,0,fish,Radiation,100,60,3,1,1,0,120,60,2
120,0,fish,Radiation,130,60,3,1,1,0,120,60,4
140,1,fish,Radiation,160,60,3,1,1,0,120,60,6
160,1,fish,Radiation,190,60,3,1,1,0,120,60,8
180,1,fish,Radiation,220,60,3,1,1,0,120,60,10
200,1,fish,Radiation,250,60,3,1,1,0,120,60,12
220,3,fish,Radiation,100,60,3,1,1,0,720,60,14
240,3,fish,Radiation,70,60,3,1,1,0,720,60,16
