/出現カウントカウント,移動パターン,敵の種類,ショットタイプ,x座標,y座標,スピード,体力,スタミナ,カウンタ,待機時間,ショットタイミング,ショットレベル
,int,string,string,Vector2f,Vector2f,int,int,int,int,int,int,int
/time,movePtn,"""string""","""string""",pos.x,pos.y,speed,HP,SP,cnt,wait,shotCnt,shotLevel
100,0,ebi,Shotgun,130,60,3,1,1,0,120,60,3
140,1,ebi,Shotgun,160,60,3,1,1,0,120,60,3
180,1,ebi,Shotgun,190,60,3,1,1,0,120,60,5
220,1,ebi,Shotgun,220,60,3,1,1,0,120,60,5
260,1,fish,Normal,250,60,3,1,1,0,120,60,1
300,3,fish,Normal,100,60,3,1,1,0,720,60,1
340,3,fish,Normal,70,60,3,1,1,0,720,60,1
380,1,fish,Normal,250,60,3,1,1,0,120,60,1
420,1,fish,Normal,130,60,3,1,1,0,120,60,1
460,3,ebi,Shotgun,160,60,3,1,1,0,120,60,11
500,3,ebi,Shotgun,190,60,3,1,1,0,120,60,11
540,1,fish,Normal,220,60,3,1,1,0,120,60,1
580,1,fish,Normal,130,60,3,1,1,0,120,60,1
620,1,fish,Normal,160,60,3,1,1,0,120,60,1
660,1,fish,Normal,190,60,3,1,1,0,120,60,1
700,1,fish,Normal,220,60,3,1,1,0,120,60,1
740,2,fish,Tracking,130,60,3,1,1,0,120,60,1
780,2,fish,Tracking,160,60,3,1,1,0,120,60,1
820,1,fish,Normal,190,60,3,1,1,0,120,60,1
860,1,fish,Normal,220,60,3,1,1,0,120,60,1
900,1,fish,Normal,130,60,3,1,1,0,120,60,1
940,1,fish,Normal,160,60,3,1,1,0,120,60,1
980,3,fish,Normal,190,60,3,1,1,0,120,60,1
1020,3,fish,Normal,220,60,3,1,1,0,120,60,1
1060,1,fish,Shotgun,130,60,3,1,1,0,120,60,7
1100,1,fish,Shotgun,160,60,3,1,1,0,120,60,7
1140,1,fish,Shotgun,190,60,3,1,1,0,120,60,9
1180,1,fish,Shotgun,220,60,3,1,1,0,120,60,11
1220,1,fish,Normal,130,60,3,1,1,0,120,60,1
1260,1,fish,Normal,160,60,3,1,1,0,120,60,1
1300,1,fish,Normal,190,60,3,1,1,0,120,60,1
1340,1,fish,Normal,220,60,3,1,1,0,120,60,1
1380,2,fish,Shotgun,130,60,3,1,1,0,120,60,3
1420,2,fish,Shotgun,160,60,3,1,1,0,120,60,3
1460,1,fish,Normal,190,60,3,1,1,0,120,60,1
1500,1,fish,Normal,220,60,3,1,1,0,120,60,1
1540,1,fish,Normal,130,60,3,1,1,0,120,60,1
1580,3,fish,Normal,160,60,3,1,1,0,120,60,1
1620,3,fish,Normal,190,60,3,1,1,0,120,60,1
1660,1,fish,Normal,220,60,3,1,1,0,120,60,1
1700,1,fish,Normal,130,60,3,1,1,0,120,60,1
1740,1,fish,Normal,160,60,3,1,1,0,120,60,1
1780,1,ebi,Radiation,190,60,3,1,1,0,120,60,16
1820,1,ebi,Radiation,220,60,3,1,1,0,120,60,16
1860,1,fish,Normal,100,60,3,1,1,0,120,60,1
1900,1,fish,Normal,100,60,3,1,1,0,120,60,1
2300,0,gusokun,,250,60,5,500,250,0,120,60,30
