/出現カウントカウント,移動パターン,敵の種類,ショットタイプ,x座標,y座標,スピード,体力,スタミナ,カウンタ,待機時間,ショットタイミング,ショットレベル
,int,string,string,Vector2f,Vector2f,int,int,int,int,int,int,int
/time,movePtn,"""string""","""string""",pos.x,pos.y,speed,HP,SP,cnt,wait,shotCnt,shotLevel
100,0,fish,Normal,100,60,3,1,1,0,120,60,1
120,0,fish,Normal,130,60,3,1,1,0,120,60,1
140,1,fish,Shotgun,160,60,3,1,1,0,120,60,5
160,1,fish,Shotgun,190,60,3,1,1,0,120,60,9
180,1,fish,Tracking,220,60,3,1,1,0,120,60,1
200,1,fish,Tracking,250,60,3,1,1,0,120,60,1
220,3,fish,Radiation,100,60,3,1,1,0,720,60,12
240,3,fish,Radiation,70,60,3,1,1,0,720,60,12
600,0,gusokun,,250,60,5,500,250,0,120,60,
