/出現カウントカウント,移動パターン,敵の種類,ショットタイプ,x座標,y座標,スピード,体力,スタミナ,カウンタ,待機時間,ショットタイミング,ショットレベル
,int,string,string,Vector2f,Vector2f,int,int,int,int,int,int,int
/time,movePtn,"""string""","""string""",pos.x,pos.y,speed,HP,SP,cnt,wait,shotCnt,shotLevel
100,0,fish,Normal,130,60,3,1,1,0,120,60,1
140,0,fish,Normal,160,60,3,1,1,0,120,60,1
180,1,fish,Normal,190,60,3,1,1,0,120,60,1
220,1,fish,Normal,220,60,3,1,1,0,120,60,1
260,1,fish,Normal,250,60,3,1,1,0,120,60,1
300,3,fish,Normal,100,60,3,1,1,0,720,60,1
340,3,fish,Normal,70,60,3,1,1,0,720,60,1
380,1,fish,Normal,250,60,3,1,1,0,120,60,1
420,1,fish,Normal,130,60,3,1,1,0,120,60,1
460,3,ebi,Shotgun,160,60,3,1,1,0,120,60,3
500,3,ebi,Shotgun,190,60,3,1,1,0,120,60,3
540,1,fish,Normal,220,60,3,1,1,0,120,60,1
580,1,fish,Normal,130,60,3,1,1,0,120,60,1
620,1,fish,Normal,160,60,3,1,1,0,120,60,1
660,1,fish,Normal,190,60,3,1,1,0,120,60,1
700,1,fish,Normal,220,60,3,1,1,0,120,60,1
740,0,fish,Normal,130,60,3,1,1,0,120,60,1
780,0,fish,Normal,160,60,3,1,1,0,120,60,1
820,1,fish,Normal,190,60,3,1,1,0,120,60,1
860,1,fish,Normal,220,60,3,1,1,0,120,60,1
900,1,fish,Normal,130,60,3,1,1,0,120,60,1
940,1,fish,Normal,160,60,3,1,1,0,120,60,1
980,3,fish,Normal,190,60,3,1,1,0,120,60,1
1020,3,fish,Normal,220,60,3,1,1,0,120,60,1
1060,1,fish,Normal,130,60,3,1,1,0,120,60,1
1100,1,fish,Normal,160,60,3,1,1,0,120,60,1
1140,1,fish,Normal,190,60,3,1,1,0,120,60,1
1180,1,fish,Normal,220,60,3,1,1,0,120,60,1
1220,1,fish,Normal,130,60,3,1,1,0,120,60,1
1260,1,fish,Normal,160,60,3,1,1,0,120,60,1
1300,1,fish,Normal,190,60,3,1,1,0,120,60,1
1340,1,fish,Normal,220,60,3,1,1,0,120,60,1
1380,0,ebi,Shotgun,130,60,3,1,1,0,120,60,3
1420,0,ebi,Shotgun,160,60,3,1,1,0,120,60,3
1460,1,fish,Normal,190,60,3,1,1,0,120,60,1
1500,1,fish,Normal,220,60,3,1,1,0,120,60,1
1540,1,fish,Normal,130,60,3,1,1,0,120,60,1
1580,3,fish,Normal,160,60,3,1,1,0,120,60,1
1620,3,fish,Normal,190,60,3,1,1,0,120,60,1
1660,1,fish,Normal,220,60,3,1,1,0,120,60,1
1700,1,fish,Normal,130,60,3,1,1,0,120,60,1
1740,1,fish,Normal,160,60,3,1,1,0,120,60,1
1780,1,fish,Normal,190,60,3,1,1,0,120,60,1
1820,1,fish,Normal,220,60,3,1,1,0,120,60,1
1860,1,fish,Normal,100,60,3,1,1,0,120,60,1
1900,1,fish,Normal,100,60,3,1,1,0,120,60,1
2300,0,gusokun,,250,60,5,500,250,0,120,60,30
